Category,Product,Year,Investment in USD billion
Financial Instrument,Balance Sheet Financing (Debt Portion),2017,90.47394
Financial Instrument,Balance Sheet Financing (Debt Portion),2018,92.54335
Financial Instrument,Balance Sheet Financing (Debt Portion),2019,93.95183
Financial Instrument,Balance Sheet Financing (Debt Portion),2020,110.92590
Financial Instrument,Balance Sheet Financing (Equity Portion),2013,86.84894
Financial Instrument,Balance Sheet Financing (Equity Portion),2014,103.74817
Financial Instrument,Balance Sheet Financing (Equity Portion),2015,33.69343
Financial Instrument,Balance Sheet Financing (Equity Portion),2016,22.09553
Financial Instrument,Balance Sheet Financing (Equity Portion),2017,93.95805
Financial Instrument,Balance Sheet Financing (Equity Portion),2018,87.70936
Financial Instrument,Balance Sheet Financing (Equity Portion),2019,100.04810
Financial Instrument,Balance Sheet Financing (Equity Portion),2020,114.88839
Financial Instrument,Grant,2013,1.63222
Financial Instrument,Grant,2014,2.32416
Financial Instrument,Grant,2015,0.94488
Financial Instrument,Grant,2016,1.04746
Financial Instrument,Grant,2017,1.36232
Financial Instrument,Grant,2018,1.32802
Financial Instrument,Grant,2019,0.67909
Financial Instrument,Grant,2020,1.23813
Financial Instrument,Low-Cost Project Debt,2013,15.41608
Financial Instrument,Low-Cost Project Debt,2014,17.22896
Financial Instrument,Low-Cost Project Debt,2015,7.36718
Financial Instrument,Low-Cost Project Debt,2016,4.15526
Financial Instrument,Low-Cost Project Debt,2017,4.63546
Financial Instrument,Low-Cost Project Debt,2018,7.00377
Financial Instrument,Low-Cost Project Debt,2019,2.14903
Financial Instrument,Low-Cost Project Debt,2020,2.65319
Financial Instrument,Project-Level Equity,2013,95.92704
Financial Instrument,Project-Level Equity,2014,100.43847
Financial Instrument,Project-Level Equity,2015,111.07533
Financial Instrument,Project-Level Equity,2016,89.31222
Financial Instrument,Project-Level Equity,2017,35.30864
Financial Instrument,Project-Level Equity,2018,30.51671
Financial Instrument,Project-Level Equity,2019,38.76355
Financial Instrument,Project-Level Equity,2020,33.96561
Financial Instrument,Project-Level Market Rate Debt,2013,38.95865
Financial Instrument,Project-Level Market Rate Debt,2014,64.38995
Financial Instrument,Project-Level Market Rate Debt,2015,86.50125
Financial Instrument,Project-Level Market Rate Debt,2016,81.42939
Financial Instrument,Project-Level Market Rate Debt,2017,118.05000
Financial Instrument,Project-Level Market Rate Debt,2018,92.83518
Financial Instrument,Project-Level Market Rate Debt,2019,86.50306
Financial Instrument,Project-Level Market Rate Debt,2020,82.73041
Financial Instrument,Unknown,2013,0.03852
Financial Instrument,Unknown,2014,0.13265
Financial Instrument,Unknown,2015,10.04430
Financial Instrument,Unknown,2016,1.38885
Financial Instrument,Unknown,2017,7.62439
Financial Instrument,Unknown,2018,10.11001
Financial Instrument,Unknown,2019,7.22030
Financial Instrument,Unknown,2020,1.35476
Type of Investors,Bilateral DFI,2013,1.67469
Type of Investors,Bilateral DFI,2014,12.24377
Type of Investors,Bilateral DFI,2015,11.99056
Type of Investors,Bilateral DFI,2016,2.63168
Type of Investors,Bilateral DFI,2017,9.35786
Type of Investors,Bilateral DFI,2018,10.32160
Type of Investors,Bilateral DFI,2019,7.50610
Type of Investors,Bilateral DFI,2020,2.27676
Type of Investors,Export Credit Agency (ECA),2013,1.01546
Type of Investors,Export Credit Agency (ECA),2014,1.32562
Type of Investors,Export Credit Agency (ECA),2015,0.40281
Type of Investors,Export Credit Agency (ECA),2016,0.34246
Type of Investors,Export Credit Agency (ECA),2017,1.65198
Type of Investors,Export Credit Agency (ECA),2018,1.81466
Type of Investors,Export Credit Agency (ECA),2019,0.51326
Type of Investors,Export Credit Agency (ECA),2020,0.54488
Type of Investors,Government,2013,2.83653
Type of Investors,Government,2014,5.90722
Type of Investors,Government,2015,3.72958
Type of Investors,Government,2016,3.67939
Type of Investors,Government,2017,6.45460
Type of Investors,Government,2018,6.76232
Type of Investors,Government,2019,6.19433
Type of Investors,Government,2020,6.49846
Type of Investors,Multilateral Climate Funds,2013,0.66613
Type of Investors,Multilateral Climate Funds,2014,0.69460
Type of Investors,Multilateral Climate Funds,2015,0.76438
Type of Investors,Multilateral Climate Funds,2016,1.28867
Type of Investors,Multilateral Climate Funds,2017,0.87503
Type of Investors,Multilateral Climate Funds,2018,0.45581
Type of Investors,Multilateral Climate Funds,2019,0.49503
Type of Investors,Multilateral Climate Funds,2020,0.06462
Type of Investors,Multilateral DFI,2013,13.79055
Type of Investors,Multilateral DFI,2014,14.40756
Type of Investors,Multilateral DFI,2015,8.70835
Type of Investors,Multilateral DFI,2016,9.41460
Type of Investors,Multilateral DFI,2017,9.80621
Type of Investors,Multilateral DFI,2018,10.72112
Type of Investors,Multilateral DFI,2019,10.36443
Type of Investors,Multilateral DFI,2020,9.38748
Type of Investors,National DFI,2013,15.14151
Type of Investors,National DFI,2014,8.62296
Type of Investors,National DFI,2015,14.40607
Type of Investors,National DFI,2016,3.56003
Type of Investors,National DFI,2017,38.57114
Type of Investors,National DFI,2018,21.46623
Type of Investors,National DFI,2019,29.13237
Type of Investors,National DFI,2020,26.75259
Type of Investors,Public Fund,2013,0.34195
Type of Investors,Public Fund,2014,0.24203
Type of Investors,Public Fund,2015,0.17154
Type of Investors,Public Fund,2016,0.08960
Type of Investors,Public Fund,2017,0.38238
Type of Investors,Public Fund,2018,0.22690
Type of Investors,Public Fund,2019,0.75375
Type of Investors,Public Fund,2020,0.44657
Type of Investors,SOE,2013,26.28840
Type of Investors,SOE,2014,25.20614
Type of Investors,SOE,2015,20.24830
Type of Investors,SOE,2016,10.10215
Type of Investors,SOE,2017,23.47758
Type of Investors,SOE,2018,22.33139
Type of Investors,SOE,2019,11.21305
Type of Investors,SOE,2020,10.51615
Type of Investors,State-owned FI,2013,2.57293
Type of Investors,State-owned FI,2014,1.88377
Type of Investors,State-owned FI,2015,3.04395
Type of Investors,State-owned FI,2016,1.38314
Type of Investors,State-owned FI,2017,29.14530
Type of Investors,State-owned FI,2018,17.75188
Type of Investors,State-owned FI,2019,38.28032
Type of Investors,State-owned FI,2020,51.66432
Type of Investors,Commercial FI,2013,20.87740
Type of Investors,Commercial FI,2014,44.33957
Type of Investors,Commercial FI,2015,66.60529
Type of Investors,Commercial FI,2016,18.66325
Type of Investors,Commercial FI,2017,41.05976
Type of Investors,Commercial FI,2018,46.89011
Type of Investors,Commercial FI,2019,97.80474
Type of Investors,Commercial FI,2020,103.87626
Type of Investors,Corporation,2013,109.53438
Type of Investors,Corporation,2014,126.74936
Type of Investors,Corporation,2015,172.59258
Type of Investors,Corporation,2016,177.36667
Type of Investors,Corporation,2017,160.93837
Type of Investors,Corporation,2018,144.84501
Type of Investors,Corporation,2019,92.44522
Type of Investors,Corporation,2020,99.21769
Type of Investors,Funds,2013,2.14201
Type of Investors,Funds,2014,2.66373
Type of Investors,Funds,2015,4.25117
Type of Investors,Funds,2016,1.67064
Type of Investors,Funds,2017,5.35358
Type of Investors,Funds,2018,9.72960
Type of Investors,Funds,2019,4.66935
Type of Investors,Funds,2020,1.98678
Type of Investors,Households/Individuals,2013,39.24900
Type of Investors,Households/Individuals,2014,41.35263
Type of Investors,Households/Individuals,2015,30.99497
Type of Investors,Households/Individuals,2016,30.83782
Type of Investors,Households/Individuals,2017,21.35213
Type of Investors,Households/Individuals,2018,23.13614
Type of Investors,Households/Individuals,2019,27.59773
Type of Investors,Households/Individuals,2020,31.98231
Type of Investors,Institutional Investors,2013,2.38770
Type of Investors,Institutional Investors,2014,2.49760
Type of Investors,Institutional Investors,2015,1.63065
Type of Investors,Institutional Investors,2016,1.42872
Type of Investors,Institutional Investors,2017,2.98689
Type of Investors,Institutional Investors,2018,5.59363
Type of Investors,Institutional Investors,2019,1.96899
Type of Investors,Institutional Investors,2020,2.49205
Type of Investors,Unknown,2013,0.30280
Type of Investors,Unknown,2014,0.12581
Type of Investors,Unknown,2015,0.23153
Type of Investors,Unknown,2016,0.78966
Type of Investors,Unknown,2017,0.00000
Type of Investors,Unknown,2018,0.00000
Type of Investors,Unknown,2019,0.37629
Type of Investors,Unknown,2020,0.04948
Source,Private,2013,174.49329
Source,Private,2014,217.72870
Source,Private,2015,276.30619
Source,Private,2016,230.75676
Source,Private,2017,231.69073
Source,Private,2018,230.19450
Source,Private,2019,224.86232
Source,Private,2020,239.60457
Source,Public,2013,64.32815
Source,Public,2014,70.53366
Source,Public,2015,63.46556
Source,Public,2016,32.49170
Source,Public,2017,119.72207
Source,Public,2018,91.85190
Source,Public,2019,104.45264
Source,Public,2020,108.15182
Sector ,End-use,2013,20.36300
Sector ,End-use,2014,23.17481
Sector ,End-use,2015,17.27275
Sector ,End-use,2016,14.41987
Sector ,End-use,2017,12.57155
Sector ,End-use,2018,12.63751
Sector ,End-use,2019,17.06248
Sector ,End-use,2020,16.91054
Sector ,End-use,2021,13.43257
Sector ,End-use,2022,12.81266
Sector ,Power,2013,199.88835
Sector ,Power,2014,247.79506
Sector ,Power,2015,298.42458
Sector ,Power,2016,241.30624
Sector ,Power,2017,332.45236
Sector ,Power,2018,298.34132
Sector ,Power,2019,302.44515
Sector ,Power,2020,322.26615
Sector ,Power,2021,416.14867
Sector ,Power,2022,485.73030
Sector ,Unknown,2013,18.57009
Sector ,Unknown,2014,17.29248
Sector ,Unknown,2015,24.07442
Sector ,Unknown,2016,7.52235
Sector ,Unknown,2017,6.38889
Sector ,Unknown,2018,11.06757
Sector ,Unknown,2019,9.80732
Sector ,Unknown,2020,8.57970
Sector ,Unknown,2021,0.07138
Sector ,Unknown,2022,0.03966
